"sex","age","weight","height"
"male",63.28,47.6,160.7
"male",64.5,47.8,151.8
"female",60.28,34.1,140
"female",61.5,36.5,139.7
"female",65.28,31.9,136.5
"female",66.5,32.9,141.6
"male",40.19,53,156.8
"female",50.29,42,145.4
"female",51.33,41.3,145.4
"male",35.5,63,163.8
"female",32.5,38.2,149.2
"male",27.56,55.5,168.9
"female",19.5,34.9,148
"male",53.28,53,165.7
"male",55.49,54.5,165.1
"female",46.28,46.4,154.3
"female",47.5,49.9,154.3
"male",65.28,43.7,153.3
"male",66.56,41.2,151.1
"female",72.28,37.4,145.4
"female",73.5,36,144.8
"female",19.58,48.3,149.9
"female",20.86,47.7,149.9
"female",21.11,48.4,150.5
"female",59.56,33.8,150.5
"female",34.98,51.4,165.1
"female",36.2,48.6,163.2
"male",43.57,41.7,158.8
"male",44.86,42.3,157.5
"female",30.27,38.4,143.9
"female",31.51,39.9,143.5
"male",38.59,49,161.3
"male",39.81,49.6,162.6
"female",28.29,42.7,156.2
"female",29.51,49,157.5
"male",55.27,37.6,146.4
"female",44.27,42.6,148.6
"female",45.51,37.9,148.6
"female",19.5,35.5,147.3
"female",19.82,34.4,146.7
"male",29.5,40.3,148
"male",29.52,55.1,161.9
"female",24.52,37.5,146.1
"female",35.55,38.5,146.1
"female",32.17,46.6,152.7
"female",33.39,48,152.4
"female",27.52,38.8,142.9
"female",31.49,35.6,142.9
"female",36.19,47.4,148
"female",36.51,47.8,148
"male",24.5,47.9,160.7
"male",24.56,50.9,161.3
"male",30.81,49.4,151.8
"male",51.27,43.7,163.2
"male",52,56.6,171.5
"male",52.81,49.4,162.9
"female",41.27,39.1,147.3
"female",42.81,39.3,147.6
"female",19.51,49.9,148
"male",54.27,40,154.9
"male",55.49,41.2,154.3
"female",42.26,38.6,143.5
"female",43.5,39.1,143.5
"male",19.57,40,146.7
"male",19.81,42.4,146.7
"male",42.51,58.6,165.7
"female",44.51,46.7,152.4
"female",60.51,44.2,141.6
"female",20.71,44.1,158.8
"female",20.41,50.9,158.8
"female",37.51,54.3,155.6
"male",50.5,45.9,164.5
"female",50.51,48,151.8
"male",31.41,52.2,161.3
"female",25.41,47.6,154.3
"female",23.5,45.6,145.4
"female",52.5,42.4,145.4
"male",78.29,36.5,152.4
"male",35.51,55.9,163.8
"female",27.81,37.2,144.1
"male",38.56,48.3,153.7
"female",39.4,37.3,142.9
"male",29.29,47.2,167
"female",23.29,47.3,158.4
"female",24.32,49.6,149.9
"male",51.5,57.5,165.7
"female",45.85,37.9,149.9
"female",22.8,47.2,154.9
"male",28.58,43.2,161
"male",38.5,50.3,161.9
"female",30.5,39.4,148
"female",47.5,39.4,148.6
"female",79.52,36.3,136.5
"male",45.4,46.3,158.1
"female",54.5,42.3,144.8
"male",30.58,47.6,156.8
"male",31.81,47,154.9
"male",23.19,55.7,179.1
"male",41.5,48.6,170.2
"female",23.5,42.8,146.1
"female",36.51,35.1,147.3
"female",30.82,56.8,162.6
"female",34.52,51.3,152.4
"male",43.28,47.8,160.3
"male",44.47,47.2,160
"female",42.29,40.9,149.9
"female",43.5,42,149.9
"female",71.29,34.3,143.5
"female",72.49,32.7,142.9
"male",38.49,57.1,167
"male",43.19,43,159.4
"male",43.2,43.4,159.4
"female",33.5,39.9,154.9
"male",34.28,46,162.6
"female",28.28,41.1,152.4
"male",57.28,47.6,170.2
"female",52.29,37.5,146.1
"male",51.5,45,159.4
"female",48.5,42.3,151.1
"male",29.16,54.9,160.7
"male",41.52,53.5,169.5
"male",61.82,52.2,158.8
"female",35.52,42.4,149.9
"female",46.52,49.6,153
"male",29.51,41.7,161.9
"male",42.51,56,162.6
"female",26.54,44,151.1
"female",27.61,42.2,149.2
"male",22.52,53.1,163.2
"male",43.49,50.2,161.9
"male",43.55,52.2,161.9
"female",53.63,42.5,145.4
"male",43.49,49.1,163.2
"female",41.85,38.5,151.1
"female",50.52,49.8,150.5
"male",33.42,59.8,170.8
"male",62.56,47.9,157.5
"female",49.56,39.3,152.4
"female",23.81,36.9,147.3
"female",24.12,38,147.6
"female",29.45,42.1,145.4
"male",33.55,44.6,157.5
"female",34.63,47.9,154.3
"male",42.55,55.2,167
"female",40.55,33,142.9
"female",27.55,40.9,152.4
"male",25.49,51.2,160
"male",29.52,49,159.4
"female",45.22,53.4,149.9
"male",26.82,54.1,160.7
"male",45.52,55.4,160.7
"female",45.42,42.2,149.2
"female",81.52,40.9,141
"male",25.28,48.4,157.5
"male",26.78,49.7,154.9
"female",24.82,44.3,141.6
"male",57.52,46,160
"female",21.28,42,150.2
"female",22.52,43.1,149.2
"female",24.42,51.5,155.6
"female",21.82,44.1,156.2
"female",77.52,32.2,153
"male",50.43,56.8,167
"female",39.28,54.9,149.9
"female",40.52,52.7,149.9
"female",64.52,36.5,148
"male",32.52,48.8,159.4
"male",34.82,57,161.9
"female",26.82,42.1,155.6
"male",63.5,50.2,159.4
"female",62.5,46.5,146.7
"male",22.52,61.8,172.7
"male",41.42,49,166.4
"male",19.52,31.5,141.6
"female",74.52,35.3,151.8
"male",41.53,45.6,156.8
"female",33.52,43.9,148.6
"female",53.5,45.6,157.5
"female",18.22,39,149.9
"female",37.22,41.2,148
"female",61.53,45.2,153
"male",44.52,53.6,160.7
"female",35.82,52.3,149.2
"female",23.52,39.1,138.4
"male",55.5,45.7,162.6
"female",53.5,40.4,149.2
"male",59.46,51.5,158.8
"female",56.82,36.7,149.9
"female",57.46,38.7,149.9
"male",35.46,39.2,158.1
"female",29.76,44.3,156.2
"male",62.5,39.5,148.6
"female",18.52,32.2,145.4
"female",51.81,46.8,154.3
"male",19.9,40.6,157.5
"male",19.91,44.3,158.1
"male",42.49,50.2,157.5
"female",25.28,40.1,169.3
"female",25.8,41.3,154.3
"female",36.51,45,145.4
"male",81.51,35.8,149.2
"male",28.51,45.2,154.9
"male",50.53,48.1,162.6
"female",43.52,45.7,156.8
"male",30.92,48.4,161
"male",31.56,51.4,159.4
"female",66.82,40.5,144.8
"female",67.46,41.2,144.8
"female",39.36,38.4,143.5
"female",18.12,38.8,147
"female",18.76,42.1,149.2
"female",47.82,38.4,150.5
"female",48.46,38.2,149.9
"male",30.36,48.3,165.7
"female",63.82,37.3,167
"female",64.46,38.9,144.1
"male",72.47,40,157.5
"male",71.82,40.5,158.1
"female",66.47,50.2,154.3
"female",65.82,51.5,154
"male",44.77,54.3,163.8
"female",42.82,35,156.2
"female",43.46,36.3,155.6
"female",43.77,37,156.2
"female",34.77,39.4,144.1
"male",55.46,43.2,162.6
"male",54.82,45.2,165.1
"female",44.46,31.9,146.1
"female",43.79,33.6,147.3
"male",31.46,45.4,154.9
"male",30.82,46.9,153.7
"female",29.76,38,144.8
"female",29.09,41.2,144.8
"female",62.48,36.1,146.7
"female",67.46,40.9,152.4
"female",66.79,41,152.4
"male",56.82,47.5,165.1
"male",57.46,47.9,163.8
"male",32.76,47.7,165.7
"female",24.46,46.7,157.5
"female",23.82,46.4,156.2
"male",74.82,41.3,153
"male",75.46,41.2,152.4
"female",61.82,35.1,142.2
"female",62.46,36.6,140.3
"male",66.82,48.2,165.1
"male",67.49,48.1,163.2
"female",70.49,36.7,151.1
"female",69.82,41.4,152.4
"male",36.72,56.6,171.1
"male",37.4,57.2,170.2
"female",58.49,38.7,149.9
"male",35.19,47.5,163.8
"female",30.79,36.2,141.6
"female",26.79,41.3,149.2
"female",21.46,44.8,146.1
"male",40.82,50.4,161.3
"male",41.46,50.6,158.8
"male",46.46,55.3,162.6
"male",45.82,54.5,161
"female",49.46,37.9,145.4
"male",28.47,58.5,170.8
"male",54.49,44.4,159.4
"female",52.88,42.6,155.6
"female",54.16,44.6,153.7
"male",68.46,44.6,160
"male",67.82,46.8,159.4
"female",68.46,40.5,150.5
"female",56.49,44.1,149.2
"female",55.82,45.5,149.9
"female",57.49,33.8,143.5
"female",56.82,34.4,142.9
"female",56.82,34.4,142.1
"female",22.12,32.8,142.1
"female",21.81,33.5,142.9
"female",22.09,35.2,142.1
"female",40.12,35.9,147.3
"female",40.86,37.2,148.6
"male",19.37,49.6,162.6
"male",41.86,53.2,164.5
"male",72.82,35.6,159.1
"male",73.46,37.1,160
"female",68.82,39.2,153.7
"female",69.46,40.5,153.7
"male",48.72,51,168.3
"male",49.36,50.6,167
"male",26.36,44,151.1
"male",82.82,47.3,154.9
"female",60.82,33.8,139.7
"female",61.36,33.6,139.1
"male",33.39,43.9,152.4
"female",25.42,49,155.6
"female",26.16,48.1,154.9
"female",56.46,42.8,148
"female",33.92,33.9,144.1
"female",34.56,36.5,145.4
"male",71.46,39.7,155.6
"male",70.82,41.2,156.2
"female",63.46,35.9,150.5
"male",50.46,50.9,155.6
"male",49.82,51.7,156.2
"female",44.76,45.8,154.3
"female",18.36,49.2,157.5
"male",41.12,58.8,168.9
"female",27.42,43.5,150.5
"male",38.36,52,160
"male",57.46,50.7,167.6
"female",58.46,34.2,144.1
"female",57.82,36.5,143.5
"female",42.46,39.4,145.4
"male",24.77,59.6,160
"male",70.82,49.3,165.7
"male",71.46,52.2,164.5
"female",47.82,39.5,153.7
"female",48.46,40,153
"male",33.46,43.9,149.2
"male",32.82,44.8,149.2
